"Id",                              "Command",                                     "Category",                      "DisplayName",                                   "Severity", "Format", "Type",         "RunIfAdmin", "Risky", "Description"
"CREDS_UNATTEND",                  "Invoke-UnattendFileCredentialCheck",          "TA0006 - Credential Access",    "Unattend file credentials",                     "Medium",   "List",   "Base",         "True",       "False", "Check whether there are any 'unattend' files and whether they contain clear-text credentials."
"CREDS_WINLOGON",                  "Invoke-WinLogonCredentialCheck",              "TA0006 - Credential Access",    "WinLogon credentials",                          "Medium",   "List",   "Base",         "True",       "False", "Check whether the 'WinLogon' registry key contains clear-text credentials. Note that entries with an empty password field are filtered out."
"CREDS_CRED_FILES",                "Invoke-CredentialFileCheck",                  "TA0006 - Credential Access",    "Credential files",                              "None",     "List",   "Extended",     "False",      "False", "Get information about the current user's CREDENTIAL files."
"CREDS_VAULT_CRED",                "Invoke-CredentialCheck",                      "TA0006 - Credential Access",    "Vault credentials (creds)",                     "None",     "List",   "Base",         "True",       "True",  "Check whether the current user's credential vault contains any clear-text Windows passwords."
"CREDS_VAULT_LIST",                "Invoke-VaultCheck",                           "TA0006 - Credential Access",    "Vault credentials (list)",                      "None",     "List",   "Base",         "True",       "True",  "Check whether the current user's credential vault contains any clear-text web passwords."
"CREDS_GPP",                       "Invoke-GPPCredentialCheck",                   "TA0006 - Credential Access",    "Group Policy Preference (GPP) credentials",     "Medium",   "List",   "Base",         "True",       "False", "Check whether there are cached Group Policy Preference (GPP) files that contain clear-text passwords."
"CREDS_PS_HIST",                   "Invoke-PowerShellHistoryCredentialCheck",     "TA0006 - Credential Access",    "PowerShell history credentials",                "None",     "List",   "Extended",     "True",       "False", "Check whether the current user's PowerShell history contains any clear-text credentials. Note that this check follows a keyword-based approach and thus might not be completely reliable."
"CREDS_SCCM_NAA",                  "Invoke-SccmNaaCredentialCheck",               "TA0006 - Credential Access",    "SCCM Network Access Account (NAA) credentials", "Medium",   "List",   "Base",         "True",       "False", "Check whether SCCM NAA credentials are stored in the WMI repository. If so, the username and password DPAPI blobs are returned, but can only be decrypted using the SYSTEM's DPAPI user key."
"CREDS_SCCM_CACHE_FOLDERS",        "Invoke-SccmCacheFolderCredentialCheck",       "TA0006 - Credential Access",    "SCCM cache folder credentials",                 "Low",      "List",   "Base",         "True",       "False", "Check whether the SCCM cache folders contain files with potentially hard coded credentials, or secrets, using basic keywords such as 'password', or 'secret'."
"CREDS_VNC",                       "Invoke-VncCredentialCheck",                   "TA0006 - Credential Access",    "VNC server password",                           "Medium",   "List",   "Extended",     "True",       "False", "Check whether a well-known VNC server (RealVNC, TigerVNC, TightVNC, UltraVNC) is installed. If so, it attempts to read and decrypt the encrypted password. Note that this might require administrator privileges."
"HARDEN_UAC",                      "Invoke-UserAccountControlCheck",              "TA0008 - Lateral Movement",     "User Account Control (UAC) settings",           "Low",      "List",   "Audit",        "True",       "False", "Check whether User Access Control (UAC) is enabled and whether it filters the access token of local administrator accounts when they authenticate remotely."
"HARDEN_NAME_RESOLUTION",          "Invoke-NameResolutionProtocolCheck",          "TA0006 - Credential Access",    "Name resolution protocols",                     "Low",      "List",   "Audit",        "True",       "False", "Check whether broadcast and multicast name resolution protocols are disabled."
"HARDEN_IPV6",                     "Invoke-Ipv6ConfigurationCheck",               "TA0006 - Credential Access",    "IPv6 configuration",                            "Low",      "List",   "Audit",        "True",       "False", "Check whether IPv6 is disabled globally. Disabling IPv6 aims at limiting the risk of credential stealing by preventing DHCPv6 poisoning attacks."
"HARDEN_LSA_PROTECTION",           "Invoke-LsaProtectionCheck",                   "TA0006 - Credential Access",    "LSA Protection",                                "Low",      "List",   "Base",         "True",       "False", "Check whether LSA protection is enabled. Note that when LSA protection is enabled, 'lsass.exe' runs as a Protected Process Light (PPL) and thus can only be accessed by other protected processes with an equivalent or higher protection level."
"HARDEN_CREDENTIAL_GUARD",         "Invoke-CredentialGuardCheck",                 "TA0006 - Credential Access",    "Credential Guard",                              "Low",      "List",   "Base",         "True",       "False", "Check whether Credential Guard is supported and enabled. Note that when Credential Guard is enabled, credentials are stored in an isolated process ('LsaIso.exe') that cannot be accessed, even if the kernel is compromised."
"HARDEN_ASR_RULES",                "Invoke-AttackSurfaceReductionRuleCheck",      "TA0005 - Defense Evasion",      "Attack Surface Reduction (ASR) rules",          "None",     "List",   "Extended",     "True",       "False", "Get information about configured Windows Defender Exploit Guard Attack Surface Reduction (ASR) rules."
"HARDEN_BIOS_MODE",                "Invoke-BiosModeCheck",                        "TA0003 - Persistence",          "UEFI & Secure Boot",                            "Low",      "Table",  "Extended",     "True",       "False", "Check whether UEFI and Secure Boot are supported and enabled. Note that Secure Boot requires UEFI."
"HARDEN_LAPS",                     "Invoke-LapsCheck",                            "TA0008 - Lateral Movement",     "LAPS",                                          "Medium",   "List",   "Base",         "True",       "False", "Check whether LAPS is configured and enabled. Note that this applies to domain-joined machines only."
"HARDEN_PS_SECURITY_FEATURES",     "Invoke-PowerShellSecurityFeatureCheck",       "TA0002 - Execution",            "PowerShell security features",                  "Low",      "List",   "Audit",        "True",       "False", "Check whether PowerShell security features are configured and enabled."
"MISC_TPM_DEVICE_INFO",            "Invoke-TpmDeviceInformationCheck",            "TA0043 - Reconnaissance",       "TPM device information",                        "None",     "List",   "Extended",     "True",       "False", "Get information about the machine's Trusted Platform Module (TPM), if present."
"HARDEN_BITLOCKER",                "Invoke-BitLockerCheck",                       "TA0001 - Initial Access",       "BitLocker configuration",                       "Medium",   "List",   "Base",         "True",       "False", "Check whether BitLocker is enabled on the system drive and requires a second factor of authentication (PIN or startup key). Note that this check might yield a false positive if a third-party drive encryption software is installed."
"HARDEN_APPLOCKER",                "Invoke-AppLockerCheck",                       "TA0005 - Defense Evasion",      "AppLocker configuration",                       "Low",      "List",   "Audit",        "True",       "False", "Check whether an AppLocker policy is enforced."
"HARDEN_APPLOCKER_POLICY",         "Invoke-AppLockerPolicyCheck",                 "TA0005 - Defense Evasion",      "AppLocker policy",                              "Low",      "List",   "Extended",     "False",      "False", "Check whether AppLocker rules can be exploited, in the context of the current user, to execute arbitrary code."
"HARDEN_FILE_EXTENSION_ASSOC",     "Invoke-FileExtensionAssociationCheck",        "TA0001 - Initial Access",       "File extension associations",                   "Low",      "Table",  "Audit",        "True",       "False", "Check whether file extensions such as '.bat' or '.wsh' are associated to a text editor. Note that only basic text editors such as 'Notepad' are detected. If a rich text editor is set instead, this check could yield false positives."
"HARDEN_HIDDEN_FILE_EXTENSIONS",   "Invoke-HiddenFilenameExtensionCheck",         "TA0001 - Initial Access",       "Hidden file name extensions",                   "Low",      "List",   "Audit",        "True",       "False", "Check whether extensions of known file types are shown or hidden in the Explorer."
"HARDEN_DEFAULT_LOCAL_ADMIN",      "Invoke-DefaultLocalAdministratorAccountCheck","TA0008 - Lateral Movement",     "Default local administrator account",           "Low",      "List",   "Audit",        "True",       "False", "Check whether the default local administrator account is disabled."
"CONFIG_PATH_FOLDERS",             "Invoke-DllHijackingCheck",                    "TA0004 - Privilege Escalation", "PATH folder permissions",                       "High",     "List",   "Base",         "False",      "False", "Check whether the current user has any write permissions on the system-wide PATH folders. If so, the system could be vulnerable to privilege escalation through ghost DLL hijacking."
"MISC_HIJACKABLE_DLL",             "Invoke-HijackableDllCheck",                   "TA0004 - Privilege Escalation", "Known ghost DLLs",                              "None",     "List",   "Base",         "False",      "False", "Get information about services that are known to be prone to ghost DLL hijacking. Note that their exploitation requires the current user to have write permissions on at least one system-wide PATH folder."
"CONFIG_CREDENTIAL_DELEGATION",    "Invoke-CredentialDelegationCheck",            "TA0006 - Credential Access",    "Credential delegation",                         "Medium",   "List",   "Extended",     "True",       "False", "Check whether Credential Delegation is enabled. If so, passwords are very likely to be stored in clear-text in memory, unless another setting prevents that. Note that LSA Protection is not sufficient to protect credentials in this case."
"CONFIG_MSI",                      "Invoke-RegistryAlwaysInstallElevatedCheck",   "TA0004 - Privilege Escalation", "AlwaysInstallElevated",                         "High",     "List",   "Base",         "False",      "False", "Check whether the 'AlwaysInstallElevated' policy is enabled system-wide and for the current user. If so, the current user may install a Windows Installer package with elevated (SYSTEM) privileges."
"CONFIG_WSUS",                     "Invoke-WsusConfigurationCheck",               "TA0008 - Lateral Movement",     "WSUS configuration",                            "High",     "List",   "Base",         "True",       "False", "Check whether WSUS uses the HTTPS protocol to retrieve updates from the on-premise update server. If WSUS uses the clear-text HTTP protocol, it is vulnerable to MitM attacks that may result in remote code execution as SYSTEM."
"CONFIG_HARDENED_UNC_PATHS",       "Invoke-HardenedUNCPathCheck",                 "TA0008 - Lateral Movement",     "Hardened UNC paths",                            "Medium",   "List",   "Base",         "True",       "False", "Check whether sensitive UNC paths are properly hardened. Note that non-hardened UNC paths used for retrieving group policies can be hijacked through an MitM attack to obtain remote code execution as SYSTEM."
"CONFIG_SMB",                      "Invoke-SmbConfigurationCheck",                "TA0008 - Lateral Movement",     "SMB configuration",                             "Low",      "List",   "Audit",        "True",       "False", "Check whether SMBv1 is enabled (server), and whether signing is required (server and client)."
"CONFIG_PRINTNIGHTMARE",           "Invoke-PointAndPrintConfigurationCheck",      "TA0004 - Privilege Escalation", "Point and Print configuration",                 "High",     "List",   "Base",         "True",       "False", "Check whether the Print Spooler service is enabled and if the Point and Print configuration allows non-administrator users to install printer drivers."
"CONFIG_MSI_REPAIR_UAC_PROMPT",    "Invoke-MsiAutomaticRepairUacPromptCheck",     "TA0004 - Privilege Escalation", "Application repair UAC prompt",                 "Medium",   "List",   "Extended",     "True",       "False", "Check whether the UAC prompt displayed when attempting an application repair through the Windows Installer was disabled."
"CONFIG_COINSTALLERS",             "Invoke-DriverCoInstallerCheck",               "TA0004 - Privilege Escalation", "Driver co-installers",                          "Low",      "List",   "Audit",        "True",       "False", "Check whether Driver Co-installers are disabled. A local user might be able to gain SYSTEM privileges by plugging in a device such as a mouse or keyboard with a vulnerable Driver Co-installer."
"CONFIG_SCCM_CACHE_FOLDERS",       "Invoke-SccmCacheFolderCheck",                 "TA0043 - Reconnaissance",       "SCCM cache folders",                            "None",     "List",   "Extended",     "True",       "False", "Get information about SCCM cache folders (incl. number and list of binary, script, and text files)."
"CONFIG_COM_REGISTRY_PERMISSIONS", "Invoke-ComServerRegistryPermissionCheck",     "TA0004 - Privilege Escalation", "COM server registry permissions",               "Medium",   "List",   "Base",         "False",      "False", "Check whether the current user has any modification rights on a COM server in the registry. This may not necessarily result in a privilege escalation. Further analysis is required."
"CONFIG_COM_IMAGE_PERMISSIONS",    "Invoke-ComServerImagePermissionCheck",        "TA0004 - Privilege Escalation", "COM server image file permissions",             "Medium",   "List",   "Base",         "False",      "False", "Check whether the current user has any modification rights on a COM server module file. This may not necessarily result in a privilege escalation. Further analysis is required."
"CONFIG_COM_GHOST_DLL",            "Invoke-ComServerGhostDllHijackingCheck",      "TA0004 - Privilege Escalation", "COM server ghost DLLs",                         "Medium",   "List",   "Base",         "True",       "False", "Check whether there are COM servers registered with a non-existent module using a relative path. This may not necessarily result in a privilege escalation. You would also need to have rights to create files in a PATH folder. Further analysis is required."
"CONFIG_COM_MISSING_MODULE",       "Invoke-ComServerMissingModuleFileCheck",      "TA0003 - Persistence",          "COM server missing module files",               "Low",      "List",   "Extended",     "True",       "False", "Check whether there are leftover COM servers registered with non-existent modules. Such issues could be leveraged for lateral movement or persistence."
"CONFIG_PROXY_AUTO_CONFIG",        "Invoke-ProxyAutoConfigurationCheck",          "TA0001 - Initial Access",       "Proxy auto-configuration",                      "Low",      "List",   "Audit",        "True",       "False", "Check whether Web Proxy Auto-Discovery (WPAD) is enabled, and whether a Proxy Auto-Configuration (PAC) file is distributed over HTTPS."
"CONFIG_DEFENDER_EXCLUSIONS",      "Invoke-DefenderExclusionCheck",               "TA0005 - Defense Evasion",      "Windows Defender exclusions",                   "None",     "Table",  "Extended",     "True",       "False", "Get information about the exclusions configured in Microsoft Defender."
"NET_FIREWALL_PROFILES",           "Invoke-NetworkFirewallProfileCheck",          "TA0008 - Lateral Movement",     "Windows firewall profiles",                     "Low",      "List",   "Audit",        "True",       "False", "Check whether the Windows firewall is enabled on each network profile (domain, private, public)."
"NET_ADAPTERS",                    "Invoke-NetworkAdapterCheck",                  "TA0043 - Reconnaissance",       "Network interfaces",                            "None",     "List",   "Extended",     "True",       "False", "Get information about all active Ethernet adapters."
"NET_TCP_ENDPOINTS",               "Invoke-TcpEndpointCheck",                     "TA0004 - Privilege Escalation", "TCP endpoints",                                 "None",     "Table",  "Extended",     "False",      "False", "Get information about all the TCP ports that are in a LISTEN state. Note that the associated process is also listed."
"NET_UDP_ENDPOINTS",               "Invoke-UdpEndpointCheck",                     "TA0004 - Privilege Escalation", "UDP endpoints",                                 "None",     "Table",  "Extended",     "True",       "False", "Get information about all the UDP ports that are in a LISTEN state. Note that the associated process is also listed. DNS is filtered out to minimize the output."
"NET_WLAN",                        "Invoke-WlanProfileCheck",                     "TA0001 - Initial Access",       "Wi-Fi profiles",                                "Low",      "List",   "Extended",     "True",       "False", "Get information about saved Wi-Fi profiles. Clear-text pre-shared keys (PSK) are displayed when possible, and potentially vulnerable 802.1x profiles are listed."
"NET_AIRSTRIKE",                   "Invoke-AirstrikeAttackCheck",                 "TA0001 - Initial Access",       "Network selection from lock screen",            "Low",      "List",   "Extended",     "True",       "False", "Check whether the 'Do not display network selection UI' policy is enabled on workstations (CVE-2021-28316 - Airstrike attack)."
"UPDATE_HISTORY",                  "Invoke-WindowsUpdateCheck",                   "TA0004 - Privilege Escalation", "Last Windows Update date",                      "None",     "Table",  "Extended",     "True",       "False", "Get information about the latest Windows update. Note that this check might be unreliable."
"UPDATE_HOTFIX",                   "Invoke-HotFixCheck",                          "TA0004 - Privilege Escalation", "Latest updates installed",                      "Medium",   "Table",  "Base",         "True",       "False", "Check whether a Windows security update was installed within the last 31 days."
"MISC_LEAKED_HANDLES",             "Invoke-ExploitableLeakedHandleCheck",         "TA0004 - Privilege Escalation", "Exploitable leaked handles",                    "Medium",   "List",   "Extended",     "False",      "False", "Check whether the current user has access to a process that contains a leaked handle to a privileged process, thread, or file object."
"MISC_PROC_THREAD_PERMISSIONS",    "Invoke-ProcessAndThreadPermissionCheck",      "TA0004 - Privilege Escalation", "Process and Thread permissions",                "High",     "List",   "Base",         "False",      "False", "Check whether the current user has any privileged access right on a Process or Thread they do not own."
"MISC_MSI_CUSTOM_ACTIONS",         "Invoke-MsiCustomActionCheck",                 "TA0004 - Privilege Escalation", "MSI unsafe Custom Actions",                     "None",     "List",   "Extended",     "True",       "False", "Get information about cached MSI files that execute potentially unsafe Custom Actions. Note that a manual analysis is required to determine if the returned MSI files are actually vulnerable."
"MISC_AVEDR",                      "Invoke-EndpointProtectionCheck",              "TA0005 - Defense Evasion",      "Endpoint protection software",                  "None",     "Table",  "Extended",     "True",       "False", "Get information about the installed security products (AV, EDR). Note that this check follows a keyword-based approach and thus might not be completely reliable."
"MISC_AMSI_PROVIDERS",             "Invoke-AmsiProviderCheck",                    "TA0005 - Defense Evasion",      "AMSI providers",                                "None",     "List",   "Extended",     "True",       "False", "Get information about AMSI providers registered by antimalware software."
"MISC_SYSINFO",                    "Invoke-SystemInformationCheck",               "TA0043 - Reconnaissance",       "System information",                            "None",     "List",   "Extended",     "True",       "False", "Get information about the Windows version. Note that this information might be useful if the update history cannot be obtained."
"MISC_ADMINS",                     "Invoke-LocalAdminGroupCheck",                 "TA0043 - Reconnaissance",       "Local Administrators group",                    "None",     "Table",  "Extended",     "True",       "False", "Get information about the users and groups in the local 'Administrators' group."
"MISC_USER_SESSION_LIST",          "Invoke-UserSessionCheck",                     "TA0004 - Privilege Escalation", "User sessions",                                 "None",     "Table",  "Base",         "True",       "False", "Get information about the currently logged-on users. Note that it might be possible to capture or relay the NTLM/Kerberos authentication of these users (RemotePotato0, KrbRelay)."
"MISC_HOMES",                      "Invoke-UserHomeFolderCheck",                  "TA0043 - Reconnaissance",       "User home folders",                             "None",     "Table",  "Extended",     "False",      "False", "Get information about the local home folders and check whether the current user has read or write permissions."
"MISC_MACHINE_ROLE",               "Invoke-MachineRoleCheck",                     "TA0043 - Reconnaissance",       "Machine role",                                  "None",     "Table",  "Extended",     "True",       "False", "Get information about the machine's role. Is it a Workstation, a Server, or a Domain Controller."
"MISC_STARTUP_EVENTS",             "Invoke-SystemStartupHistoryCheck",            "TA0004 - Privilege Escalation", "System startup history",                        "None",     "Table",  "Extended",     "True",       "False", "Get information about the startup history. Note that this information might be useful if the exploitation of a service requires a reboot but the current user does not have the privileges to shut down the system."
"MISC_DRIVES",                     "Invoke-SystemDriveCheck",                     "TA0043 - Reconnaissance",       "Filesystem drives",                             "None",     "Table",  "Extended",     "True",       "False", "Get information about the partitions, removable storages, and mapped network shares."
"MISC_NAMED_PIPES",                "Invoke-NamedPipePermissionCheck",             "TA0004 - Privilege Escalation", "Named pipe permissions",                        "None",     "List",   "Experimental", "False",      "False", "Check whether the current user has any write permissions on other users' named pipes."
